ac_no,ac_name,ac_no_name,Category,District,Zone,party_name,Serial no.,candidate_name,candidate_list
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,INC,1,Atul Chauhan (Rajput),1.Atul Chauhan (Rajput)
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,INC,2,Babu Jandel (Meena),2.Babu Jandel (Meena)
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,BJP,1,Brijlal Singh Chauhan (Thakur),1.Brijlal Singh Chauhan (Thakur)
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,BJP,2,Durga Lal Vijay (Bania),2.Durga Lal Vijay (Bania)
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,BJP,3,Gopal Acharya (Brahmin),3.Gopal Acharya (Brahmin)
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,BJP,4,Kabita Meena (Meena),4.Kabita Meena (Meena)
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,INC,1,Kunj Bihari Sarraf (Bania),1.Kunj Bihari Sarraf (Bania)
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,INC,2,Ram Lakhan (Meena),2.Ram Lakhan (Meena)
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,BSP,1,Tulsi Narayan Meena (Meena),1.Tulsi Narayan Meena (Meena)
1,Sheopur,1.Sheopur,GEN,Sheopur,Gwalior-Chambal,INC,1,V.P. Singh (Meena),1.V.P. Singh (Meena)
2,Vijaypur,2.Vijaypur,GEN,Sheopur,Gwalior-Chambal,BSP,1,Atar Singh Kushwaha (Kushwaha),1.Atar Singh Kushwaha (Kushwaha)
2,Vijaypur,2.Vijaypur,GEN,Sheopur,Gwalior-Chambal,BJP,1,Babulal Mebara (Baishnav),1.Babulal Mebara (Baishnav)
2,Vijaypur,2.Vijaypur,GEN,Sheopur,Gwalior-Chambal,INC,1,Bharat Garg (Bania),1.Bharat Garg (Bania)
2,Vijaypur,2.Vijaypur,GEN,Sheopur,Gwalior-Chambal,BJP,1,Brijlal Singh Chauhan (Thakur),1.Brijlal Singh Chauhan (Thakur)
2,Vijaypur,2.Vijaypur,GEN,Sheopur,Gwalior-Chambal,INC,1,Chhotelal Saibariya (Sehariya),1.Chhotelal Saibariya (Sehariya)
2,Vijaypur,2.Vijaypur,GEN,Sheopur,Gwalior-Chambal,BJP,1,Gopi Ram Adibasi (Seharia),1.Gopi Ram Adibasi (Seharia)
