Category,Cleaned Caste,Voters,Percentage,ac_no,Rank,Zone,Seat Category,District,ac_no_name
OBC,Meena,37831,15.9,1,1,Gird,GEN,SHEOPUR,1.Sheopur
SC,Chamar,29266,12.3,1,2,Gird,GEN,SHEOPUR,1.Sheopur
ST,Sahariya,21652,9.1,1,3,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Gujjar,11897,5,1,5,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Mali,10707,4.5,1,6,Gird,GEN,SHEOPUR,1.Sheopur
General,Brahmin,10707,4.5,1,7,Gird,GEN,SHEOPUR,1.Sheopur
General,Bania,10707,4.5,1,8,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Kushwah,8566,3.6,1,9,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Yadav,7614,3.2,1,10,Gird,GEN,SHEOPUR,1.Sheopur
ST,Bhil,6900,2.9,1,11,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Kirar,6424,2.7,1,12,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Banjara,5472,2.3,1,13,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Jat,5472,2.3,1,14,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Other OBC,5472,2.3,1,15,Gird,GEN,SHEOPUR,1.Sheopur
General,Rajput,5472,2.3,1,16,Gird,GEN,SHEOPUR,1.Sheopur
General,Other GEN,5472,2.3,1,17,Gird,GEN,SHEOPUR,1.Sheopur
SC,Koli,4759,2,1,18,Gird,GEN,SHEOPUR,1.Sheopur
SC,Valmiki,3331,1.4,1,19,Gird,GEN,SHEOPUR,1.Sheopur
SC,Kumhar,2617,1.1,1,20,Gird,GEN,SHEOPUR,1.Sheopur
SC,Dhobi,2141,0.9,1,21,Gird,GEN,SHEOPUR,1.Sheopur
SC,Dhimar,2141,0.9,1,22,Gird,GEN,SHEOPUR,1.Sheopur
General,Other GEN,2141,0.9,1,23,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Kalal,1666,0.7,1,24,Gird,GEN,SHEOPUR,1.Sheopur
OBC,Sonar,1666,0.7,1,25,Gird,GEN,SHEOPUR,1.Sheopur
